,댓글,혐오여부
1755,앵이 흘러나오노 보지잡고 반성하게되노 모든 아이들이 너를보고 희망을 가지게됐으면 좋겠노,
1756,인생 진짜 간지나게 사는년이노 정말 대단하다,
1757,"이년 봊나대단한년이노 나도 니년따라서 곧 탈조하거노
내가 가진 재능이 대단함에도 불구하고 패배주의안에서 나를 계속 후려쳐내렸노 니글읽고 깨달은게 흑좆나많노 이년아 평생 례쁘장한 양남희롱하면서 5성급호텔에서만 지내라",
1758,봊멋이노 나도 3년안에 반드시 탈조하겠노 정상에서 보자 이기,
1759,봊나멋진년 대성해라. 기개가 엄청나노. 멋지다. ,
1760,방금까지 무력했었노 내년에 캐나다로 이민으로 가고싶어서 여기저기 정보 모으고 있었노 유학이민 하고 싶었노 아이티로 전공하고싶었노 근데 나는 비전공자노 돈도 아직 모아논게 없노 경력도 없노 그래서 무력했노 근데 너 보고 힘을 얻었다 이기야 꼭 탈조 해야겠노 좆국에 있다가는 죽겠노 문재앙이 나라 망하게 큰일 하고 있노 목표는 내년이노 죽이되든 밥이되든 열심히 하겠노 글 정말 고맙다이기야,
1761,나랑 동갑인데 진짜 혀를 내두르노. 뭘해도 될거다이기. 너 주변에 앞으로 더 좋은 사람만 모일거다이기야,
1762,멋지노 내 6형편9에 탈조 생각 안해봤는데 힘주겠노,
1763,보지답게 해내노. 나도 탈조 더 힘주겠노. 좆국에서 여성으로 태어나 웜에 들어온 것 자체가 이미 대단한 일을 해낸거노. 더 높이 올라가라 이년아,
1764,앵이흐른다 너년 봊나 대단하노 무력감떨치고 나도 다시시작하다 ,
1765,앞으로 뭘 해도 높이 올라갈 년이노. 더 힘 줘서 정상에서 보자 이년아,
1766,나도 내년에 탈조할거노. 멋지다 이련!!,
1767,곧 뒤따라가노 기개가 노무떡 보지답노,
1768,웜상 앵나 멋있다 이기야. 자집애스럽게 울컥해 버렸노 뭘해도 될 년이다 나도 요새 무력감보 되어서 힘들었는데 웜상의 글이 내 뒷통수를 거세게 치고 날 앞으로 밀었다 노무딱 고맙다 ,
1769,봊멋이노 행동력 ㅂㅅㅌㅊ,
1770,대단한년이노 나도 간다 정상에서보자,
1771,정상에서 만나자. 힘조할거노,
1772,위인전에 꼭 실어야 하는 이야기 아니노 앵나온다 이기,
1773,사람이 하고자 하면 못할것이 없구나 깨닫고 가노 시뮬레이션 100번 돌리고 이래서 안되고 저래서 안되고 걱정하던 년인데 그냥 무조건 부딪히고 깨져봐야겠구나 느꼈노 보지인생 긴데 실패하면 좀 어떻겠노 일단 해보겠노 고맙다 이기,
1774,앵나오노 거기서 쭉쭉 성공길 걷기바라노 나도 열심히살겠다이기야,
1775,충분히 잘 성장했고 잘컸다이기 보지대장부야 항상 용기내어 살고 넌 뭐든지할수있다이기 ,
1776,너는 난년이노 셀털이긴하지만 뭐하는지 너무 궁금하노,
1777,멋지노 탈조 은연중에 포기하고 있다가 자극받노. 나도 탈조 더 힘줘야겠노,
1778,봊멋이노 응원한다 이기,
1779,멋진년 난년이노 곧 정상에서 보자 ,
1780,멋있노... 나도 꼭 힘줘서 탈조하겠노 오늘도 다짐한다 이기,
1781,책내라 이기 너 참 멋지노,
1782,봇멋이노. 보지가 못할게 뭐가 있노? 기받고 간다 이기.,
1783,너는 꼭 자서전 내야 하노 이북이라도 내야 하노,
1784,탈조 계획중인데 주위에서 가스라이팅 흑좆나 심해서 무력감보 됐었노. 너 글 보고 각성했노. 정상에서 만나자이기,
1785,고생했노 정말 보지답게 뭐든 해내는 모습에 더 각성하게 되노 나도 더 열심히 하겠다이기야,
1786,봊멋이노,
1787,대단하노 이 글 보니까 탈조가 더 간절해졌노,
1788,대단하노. 앞으로 더 승승장구 할 년이노. 나도 각성하고 간다 이기야,
1789,봊멋이노 간절히바라면 온우주가 도와주도록 더 힘주겠노 고맙노,
1790,글 쪄줘서 고맙다 이 년아. 네 글 읽고 큰 용기를 얻었노. 탈조 준비 중인데 보지 잡고 반성한다 이기.,
1791,나도 꼭 탈조하겠노,
1792,앵나오노 나도 꼭 탈조할거노 본받겠노,
1793,너년의 봊풍당당함이 노무현멋지노 ,
1794,이핑계 저핑계 대며 은연중에 패배마인드 가지던 날 반성하고 간다. 글쪄줘서 고맙다,
1795,봊나멋있노 존경한다이기,
1796,앵흐른다. 이년아. 봊나 멋지다. 나랑 동갑인 웜상이라 더 와닿노. 야망보지 힘주고 보르텔 건설하자. 정상에서 만나자 이기야. ,
1797,봊나머싰따이기,
1798,앵나오노 놈딱 멋있노 보고 탈조 힘주고 가노,
1799,진짜 대단하노 재수생 웜련인데 9모 말아먹고 서치하다가 이 글 보게 됐노 탈조가 목표인 이상 지금 현실에 충실하지만 후회는 안 하겠노,
1800,탈집 서치하다 왔는데 읽고 앵흘렸노 이기 나도 내년에 22살 되자마자 탈집할 계획인데 너글 보면서 의지 다지겠노,
1801,보지는 야망만 있으면 두려울게 없노,
1802,"아니ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ왜 다들 66너년99 66나년99 남발하고 부랄들이노
6너년9안 쓰기로 한지가 얼마나 오래됐는데 아직까지 쓰고 자빠졌노
너년 쓰는 년들이 한 두명도 아니고 놈딱 기괴해서 잠이 확 달아나뿟노 좆팔",
1803,성림 멋있노 응원한다이기,
1804,봊나 멋지노. 역시 보지는 못할 것이 없노,
1805,넌 될년이노. 정상에서 보자 이기,
1806,"멋있다이기 여자인생 다 그런거 아니겠노
이년글 놈딱 다받고 동기부여되노 정상에서 보자이기",
1807,이미 뭘 해도 될 년이노. 정상에서 만나자 이기야,
1808,덴마크로 탈조할꺼노,
1809,나이필요읍노. 니년이 봊대장이노. 존경한다이기,
1810,책 내라 이기 앵나 멋있노 워추 박았다 이기,
1811,봊나 멋있노 나도 현생 힘주겠다이기,
1812,봊나 멋지노 또 한번 배우고 간다 이기야,
1813,2년이내 탈조할거노 정말이지 봊나 존경한다이기 ,
1814,봊멋지노 뭘해도 될년이다 이기야 나도 곧 따라간다 ,
1815,고맙노 좆국대학 들어가서 졸업한 다음에 웅앵웅 하고 있었는데 덕분에 그냥 부딪히자는 마음이 들었노 좆국에 계속있었봤자 머리에 좆물만찰뿐 하나도 좋은점 없을거노 덕분에 보지 힘 주고 가나,
1816,기개가 여자답다. 꼭 정상에서 만나자이기,
1817,그보다 빛나는게 네 눈물과 노력에 존경스럽노. 좋은 글과 극복 경험담에 나도 잘할수 있겠다는 생각이 든다. 고맙노,
1818,고맙노 흔들리고있는데 도움많이 받았노 탈조 힘주겠노,
1819,능력봊이노 야망힘주고 가노,
1820,뭘해도 될 년이다 정상에서 만나자,
1821,어떻게든 될 년. 멋있노. 나도 힘줘서 2년 안에 탈조 성공하겠다이기,
1822,봊멋이다 정상에서보자이기,
1823,힘내자 이기야,
1824,멋지노본받고가노,
1825,봊멋,
1826,봊멋이다 이년아 자극받고가노,
1827,용기가 대단하노 봊나 멋지다 이기야,
1828,정상에서 보자 ,
1829,멋지노,
1830,몸건강해라이기,
1831,와씨 내앱충이랑 똑같은소리했노 나 집나오니하는소리가 돈떨어지면 지가 기어들어올거라했다아니노 조팔 나지금 나온지 삼년째들어서노,
1832,정상에서 만나자이기야,
1833,번아웃 와서 워마드 옛날 글부터 복습하고 있는 년이노. 이년아 너가 최고노. 다시 야망 채우고 탈조 준비하러 가겠노. 물론 탈조하기 전에 자집애 열명 정도는 재기시키고 가겠다 이기야.,
1834,박수치고간다 이니야,
1835,와 봊멋있다 다시 야망 충전하고가노 ,
1836,봊간지 자극받고가노,
1837,자극 받고 간다이니야. 너 년 앞길에 더 큰 부와 영광이 가득하길 바란다. 정상에서 보자.,
1838,요즘 노무 흔들렸는데 노무 고맙노 마음 단단히 잡고간다,
1839,멋있는 년이노. 윗댓들 대로 책내도 되겠노,
1840,봊멋이노,
1841,봊멋이다 워추 박고가노 ,
1842,"띵문에 묻은 소추 나노 말멀 달아라
개인적으로는 큰 깨달음 얻었노 나는 야망이 없던게 아니라 야망의 고통을 두려워하고 있었노 그게 내 코르셋이었노",
1843,멋진 글이노,
1844,띵문이노 내일 일어나자마자 필사하노,
1845,말멀 안 쓰노?,
1846,말멀 달아라 이기 그거 빼면 띵문이노,
1847,권력은 복종하지 않기위해 얻어야하는 것이다 ㅇㄱㄹㅇ이노. 난 누구의 지배를 받는것 지배에 따르는것을 극도로 싫어하는 년이었노. 그러나 누굴 지배하는것을 딱히 원하지도 않았고 그래서 지배받지도 않고 지배하지도 않는 독립적이고 개인적인 삶을 원했노. 그러나 자트릭스에서는 그게 불가능하더노. 내가 지배하지 않으면 남이 나를 지배하노. 여자가 지배하지 않으면 자지가 지배하노. 지배받지도 지배하지도 않는 중간지대는 없다. 최소한 좆국에선 절대 없다. 지배받지 않으려면 지배해야하노.,
1848,말머리 달아라 소추준다,
1849,"추하고 역겨운 길을 걸어, 무감각함과 평온의 세계로 가는 것이야말로 권력이다.
누군가가 죽도록 동경하는 것을 발에 채인 돌처럼 여기는 세계로 가는것.
그리고 이건 얻을 가치가 있노. 그 어떤 것보다도 얻을 가치가 있노. 특히 이 구절 봊나좋노.",
1850,띵문이노 야망보지 더 힘주겠노,
1851,"띵문이노. 내가 워마드에 들어가본 것이 인생의 최대 터닝포인트라고 느끼는 이유 중 하나가 바로 웜년들이 쓰는 띵문이노. 웜년들 각자의 분야에서, 또는 웜년 개개인의 인생을 살아오며 쌓인 가치관들에서 비롯되어 설파하는 것들이 나에게 너무 큰 도움이 되노. 고맙다",
1852,띵문이노 일기에 붙여놓고 보겠노,
1853,띵문이노 윾입들은 닥눈삼 자세로 이 글 정독하고 다른 웜띵문들도 정독해라 이기야,
1854,구구절절 띵문이노 자트릭스에서 추하지 않은 방법으로 권력을 획득할 수 있는 방법은 없노 여기서 행동 없이 평온함을 추구하다간 그저 낭떠러지로 굴러떨어지는 길밖에 없다 이기,
1855,지금 아주 자트릭스 심한 집단 (과)에서 스트레스 봊나 받고 살았는데 개돼지들보다 빨리 더 높게 성공할거노 ,
1856,봊띵문이노 워추 x100 ,
1857,띵문이노 푸해지자이기야 자댕이들처럼 추하고 개걸스럽게 탐내자 권력을 뺏자이기야,
1858,띵문이노 정독해야한다 이기,
1859,지금까지 내가 남이 나에게 지배해줬으면 좋겠다고 계속 생각하고 어딘가에 계속 의존하고 싶어했었는데 이글 보고 머가리 한대 제대로 얻어맞은 것 같은 느낌이 들었노 이제까지 내가 해온 건 누군가에게 종속 되거나 혹은 복종하고 굴복하기 위한 짓거리였던 거노 덧글 중에도 띵문이 있는데 지배 받지 않고 지배하지 않을 수 있는 중간지대는 없고 지배 받고 싶지 않으면 내가 지배를 해야 하고 여기서 아직도 꽃밭 속에 살고 있으면 그대로 휘말려서 희생양으로 전락하고 마는 거노,
1860,굳이 자트릭스에서뿐만 아니라 자연이 그렇다 모든 동물은 다른 동물을 착취해서 살아갈 수 밖에 없노 이건 나쁘고 어쩌고 할 거 없이 당연한 일이다 가축을 죽여 고기를 취하는 일에 양심의 가책을 느끼지 않듯이 나 이외의 다른 인간을 굴종시키고 억압해서 내 권리를 늘리는 일도 당연하게 받아들여야 하노,
1861,청소년웜년인데 공부 싫을때마다 이 글 정독하겠노 두고봐라 3년뒤에 학력인증하러 온다 이기,
1862,머리 한대 맞은 기분이다이기야. 봊띵문이노 새기고 매일 보겠노 좋은 글 고맙다이기,
1863,띵문 잘 읽었노. 고맙다이기야.,
1864,"자댕이들 앵나오게 추잡한 짓해서 높은자리 올라가는 거 보면 맞는 말이노이기
권력을 얻으려면 뻔뻔해쟈야하노",
1865,무감각함과 평온이야말로 내가 원하는 것임을 깨달았노. 온갖 더러운 수단으로 정상에 올라서 무감각한 기분으로 아래를 내려다보고 싶노 그게 진정한 평화다 이기야,
1866,맞노 예쁜길을 걷고싶단 소망이 코르셋이었노 모든 것에는 대가가 있노. 고맙다 깨닫게 해줘서. 더 이상 나 자신과 타협하는 일은 없을거노,
1867,이젠 우리가 자댕이를 착취해야할 차례노,
1868,난 항상 현실도피를 했었노. 왜냐면 현실이 멍청미개한 자댕이들 자트릭스 밭이였기 때문이노 이제부턴 현실직시 봊잡고 제대로 하고 살거노,
1869,나는 보토피아를 만들면 이럴일은 없다 생각하노 물론 확신은 없노 하지만 지금 현생은 딱 수컷딸랑이들이 암컷들한테 선택되려고하는 기싸움마냥 최고로 올라가려고 물고끋고 난리노 자댕이들은 멍청해서 모르지만 보지들은 똑똑해서 범고래만 봐도 지들끼리 무리생활하면서 매우 잘살지 않노? 추악하게 권력얻으려 쟁취하려하고. 이거 노무 미개자댕이들 같노. 하지만 현실은 자트릭스 흙구덩이이기 때문에 현실직시하고 권력쟁취가 급하노. 자댕이 밑에있는거 사람 가오가 있지 안쪽팔리노 흉자들아?,
1870,띵문이다이기야 중간중간 필사하면서 곱씹아봤다이기 원래 모두가 탐하는 좋은것을 얻는 과정은 더럽고 추악하고 치열할 수 밖에 앖다이기. 그걸 알기때문에 자지들이 그토록 여성을 배척하려고 난리친거노. 지금 당장 고통스럽고 괴롭더라도 난 꼭 정상에 서야겠다이기야,
1871,"권력은 추하노. (그러나 복종보다는 아름답노.)
야망은 고통스럽노. (그러나 굴욕에 비하면 즐겁노.)
머리가 띵하다 이기 노무나 맞는 말에 글까지잘썼노 띵문은 워추",
1872,띵문 고맙노 권력을 위해 독하게 투쟁하겠노,
1873,이 글 읽고 또 하루를 반성했노. 수단과 방법을 가리지 않고 위로 올라가야겠노,
1874,정상에서보자 이기야,
1875,띵문이노 불안에 모골까지 송연해지지 않는 성공이란 없다 이기,
1876,오늘 하루 추하게 공부해야겠노. 주기적으로 읽겠다 이기야. 고맙노.,
1877,"Bozys, be ambitious 봊멋 ㅇㅊ다",
1878,워추다 이기야,
1879,권력의 끝인 펑온함과 ㅇ안정만 상상했노 그 과정까지 가기위한 치열함과 추함을 인지하지못했다이기 띵문은 보지에새기노,
1880,고맙노 보지에새기겠다이기,
1881,이런 거 알려줘서 고맙노 웜 아니면 이런 얘기 어디서 듣노 깨달음 얻고 간다 이기,
1882,띵문이노 보지에 새기겠다 이기,
1883,봊띵문이노이기 ,
1884,명문이노,
1885,최고의 글이노. 많이 배우고 가노,
1886,띵문에 필력 지린다. 이 글 읽고 더욱더 야망보지되노.,
1887,앵나 모든 구절이 띵문이노 ㅇ퍄 ,
1888,"추하고 역겨운 길을 걸어, 무감각함과 평온의 세계로 가는 것이야말로 권력이다.
누군가가 죽도록 동경하는 것을 발에 채인 돌처럼 여기는 세계로 가는것.
정말 띵언이다 이기 ",
1889,"앵나오노 이런글을 원했다이기야 권력을 얻는 길은 아름답지않지만
권력을 얻고 바라본 길은 아름다울거노",
1890,맞노 추접하고 더럽게 일해서 어떻게든 정상까지 갈거노 고맙다이기 ,
1891,띵문이노. 스크랩해놓고 매일 돌려보겠노. ,
1892,웜에서 본 띵문 중에 띵문이노 특히 권력이 무엇인지에 써논부분 인상적이노. ,
1893,봊나 강해지고 싶노 내 앞길을 막는 건 무슨 수를 써서라도 밀어버릴거노 아무리 더러워도 무기력과 복종보다는 숭고하다이기야노,
1894,띵띵띵띵띵문이노 글 써줘서 고맙다 이기야,
1895,구구절절 띵문이다 돈 모으기위해 성자일 다시 해도 될까 고민하는 요즘이다,
1896,띵문이노 읽고 또 읽겠다이기야,
1897,내가 원하는 것은 혼자 평온하게 사는 삶이노. 예전부터 그랬노. 개돼지들을 차단하면 되는 줄 알았는데 그것만으로는 불충분했노. 중간지대는 없으며 자유를 위해서는 권력을 얻어야하고 내 권력을 휘둘러야 나의 평온을 지킬 수 있음을 깨달았노. 이 글을 내 삶으로 만들겠노. 그리고 증명하겠다 이기. 내가 얻은 권력 뒤의 무감각과 평온을.,
1898,띵문 워추,
1899,보지에 힘주겠다 이기,
1900,띵문이다이기야,
1901,맞는 말이노 괜한 도덕 토르셋 따위 버리고 철저히 나만 생각해야 하노,
1902,띵문이노. 권력이 왜 필요하고 그토록 많은 사람들이 원하는지를 논리적으로 잘 써줬노. 권력이라는건 애초에 사람이나 자댕이를 부리려고 쓰는게 아니노. 굴욕감을 맛보지 않기 위해서 쓰는거노. 띵문 고맙다 이기,
1903,봊빠지게 현생 힘주겠노 당장 필사한다 이니야 ,
1904,봊띵문이노,
1905,띵문 커맙노,
1906,오늘도 야망보지 힘주노 스크랩해서 생각날 때마다 읽을 거노,
1907,띵문 스크랩한다이기야 봊나 현실적이고 멋진 글이노,
1908,"아름답지 못한 길을 걸을지도 모른다는 두려움이 그동안 야망길 걸을까말까하는 장애물이었노. 도덕코르셋이노.
글 보고 머리가 띵하노. 아무도 안알려주는 추함에 대해서 서술한 글이노.",
1909,내생각을 글로옮겨놓은듯한글이노 ,
1910,"띵언이노 대학교 1학년인데 학점, 자격증 그리고 토익 힘주고 있노 성적 자댕이한테 내주지 않을거노 성공하고 싶노 추하게 공부해서 반드시 성공할꺼노",
1911,띵문이노,
1912,고맙노 덕분에 다시 연필잡았다 이기,
1913,띵문이노 ,
1914,ㄱㅅ,
1915,나는 사실 내가 위로 올라가기 위해 하는 모든 일에 일말의 양심도 필요없다고 생각하노 물론 더러운 짓은 냄져에게만 할 거지만이기 다 내꺼다 이기야,
1916,띵문이노. 여자다운인생살겠노.,
1917,띵문고맙노,
1918,고맙노 깨닫고간다 이기야,
1919,권력은 추한 거노,
1920,띵문이노.약해질 때 보도록 하겠노.,
1921,앵나오노 몇번을 정독해오 아깝지 않다 이기야. 워추 누르고 가노,
1922,띵문 올려줘서 고맙노 권력자들이 뻔뻔한 이유가 있다 이기 눈치 볼 필요가 없어서 그런 거 아니겠누,
1923, https://www.yna.co.kr/view/AKR20181205151700009?input=1195m 이스라엘의 여성폭력 항의 대규모 시위노. 이스라엘보다 좆국은 여성이 흑좆나 많이죽는데도 아직 여성폭력 단일이슈로는 시위가 열린적이 없노. 기사 링크올리니 웜년들 기사 읽고와라. 문재앙 탄핵에 여성폭력 이슈 추가해도 좋다고 생각하노.,
1924,워추 9999,
1925,띵문이노,
1926,통찰력보소 내가 권력은 갖고싶지만 야망이 없는이유가 이해됐노 무의식중에 거세하고있었노,
1927,이기이기 띵문 아니노...,
1928,통찰력 앵나오노 나는 항상 권력과는 거리가 멀다고 생각했노. 하지만 내가 원했던 삶이 그거였노. 권력자. 통치자. 잔혹함. 모두가 나에게 설설 기고 나는 물 한방울만 떨어뜨려 줘도 그들은 감사함에 몸부림치는것. 그러나 그들의 그런 모습조차도 지겨워 하는 것. 나는 앱충을 잘못만나 좆같은 집구석에서 태어났노. 하지만 내 타고난 성향은 어쩔 수 없다 이기야 내가 원하는 것은 권력이었노. ,
1929,잘읽었노,
1930,띵문이노,
1931,봊에 새기고 가노. 항상 경각심을 가지고 권력 쟁취할 것 생각하며 살아가겠노. 정상에서 보자 이기야.,
